VariationID	Landmark	Chr	Start	End	VariationType	LocusChr	LocusStart	LocusEnd	Reference	PubMedID	Method/platform	Gain	Loss	TotalGainLossInv	Frequency	SampleSize	Genes
Variation_0012	RP11-259N12	chr1	103866548	104023769	CopyNumber	chr1	103702380	104164023	Iafrate et al. (2004)	15286789	BAC Array CGH	10	7	17		39 control samples	AMY2A,AMY1C,AMY1A,AMY1B
Variation_0013	RP4-580L15	chr1	113162086	113215487	CopyNumber	chr1	112869177	116453414	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	SLC16A1,AKR7A2P1
Variation_0014	AL021069	chr1	171200938	171301433	CopyNumber	chr1	171200938	171301433	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RABGAP1L
Variation_0015	RP11-415M14	chr1	172762643	172922232	CopyNumber	chr1	172762643	172922232	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RFWD2
Variation_0016	RP5-1016N21	chr1	229562599	229714151	CopyNumber	chr1	228901750	229714151	Iafrate et al. (2004)	15286789	BAC Array CGH		3	3		39 control samples	PCNXL2
Variation_0017	RP11-438F14	chr1	245013551	245191418	CopyNumber	chr1	243400471	245377441	Iafrate et al. (2004)	15286789	BAC Array CGH	2	1	3		39 control samples	OR2T35,OR14I1,OR2T27,OR2T10,OR2T11,OR2T34,OR2T29
Variation_0018	RP11-119B15	chr2	35775720	35943737	CopyNumber	chr2	35733012	36031232	Iafrate et al. (2004)	15286789	BAC Array CGH	 	1	1		39 control samples	
Variation_0019	RP11-355B11	chr2	61571775	61731466	CopyNumber	chr2	61571775	61731466	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	USP34,XPO1
Variation_0020	RP11-89C12	chr2	81645070	81844636	CopyNumber	chr2	81645070	81844636	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0021	AC010978	chr2	105803722	105944304	CopyNumber	chr2	105803722	105944304	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	NCK2
Variation_0024	RP11-32C20	chr2	130417763	130583205	CopyNumber	chr2	129213068	133031735	Iafrate et al. (2004)	15286789	BAC Array CGH	 	1	1		39 control samples	POTEF,RAB6C,LOC440905,LOC100131320
Variation_0025	RP11-89B17	chr2	132114577	132288736	CopyNumber	chr2	129213068	133031735	Iafrate et al. (2004)	15286789	BAC Array CGH	 	2	2		39 control samples	CCDC74A,POTEKP
Variation_0027	RP11-80D14	chr2	171093942	171255093	CopyNumber	chr2	171093942	171255093	Iafrate et al. (2004)	15286789	BAC Array CGH	3		3		39 control samples	MYO3B
Variation_0028	RP11-91L23	chr2	173582123	173739010	CopyNumber	chr2	173582123	173739010	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RAPGEF4
Variation_0029	RP11-270G18	chr2	190126241	190294131	CopyNumber	chr2	190126241	190294131	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	WDR75,SLC40A1
Variation_0030	RP11-316O14	chr2	220032424	220216048	CopyNumber	chr2	220032424	220216048	Iafrate et al. (2004)	15286789	BAC Array CGH	4		4		39 control samples	SPEG,GMPPA,DNPEP,DES,ACCN4
Variation_0031	RP11-463B12	chr2	240631266	240802685	CopyNumber	chr2	240631266	240802685	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	PRR21,OR6B3,NDUFA10,OR6B2,OTOS,MYEOV2
Variation_0032	RP5-1011O17	chr2	242619210	242799250	CopyNumber	chr2	242139945	242799250	Iafrate et al. (2004)	15286789	BAC Array CGH	3	1	4		39 control samples	LOC728323
Variation_0035	RP11-169N13	chr3	120926480	121091572	CopyNumber	chr3	120926480	121091572	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	NR1I2,C3orf15,GSK3B
Variation_0036	RP11-89E16	chr3	141263378	141441462	CopyNumber	chr3	141263378	142007428	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	CLSTN2
Variation_0037	RP11-362A9	chr3	153502275	153697708	CopyNumber	chr3	153502275	153697708	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	TMEM14E,MBNL1
Variation_0038	RP11-79F11	chr3	165317577	165466440	CopyNumber	chr3	163905126	165466440	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0039	RP11-91B7	chr3	168998475	169156089	CopyNumber	chr3	168998475	169156089	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	SERPINI1,LOC646168
Variation_0040	RP11-114M1	chr3	178755570	178913010	CopyNumber	chr3	178755570	178913010	Iafrate et al. (2004)	15286789	BAC Array CGH	1	8	9		39 control samples	
Variation_0042	RP11-313F11	chr3	197210940	197374610	CopyNumber	chr3	196584084	197559903	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	LOC401109,TFRC
Variation_0043	RP1-196F4	chr3	198380968	198552148	CopyNumber	chr3	198343363	199450740	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	DLG1
Variation_0044	RP11-338O10	chr3	199161690	199361690	CopyNumber	chr3	198343363	199450740	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	IQCG,LMLN,LOC348840,RPL35A
Variation_0045	RP11-81N11	chr4	34599888	34749291	CopyNumber	chr4	34459337	34916910	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0047	RP11-451M10	chr4	91975575	92125825	CopyNumber	chr4	91975575	92125825	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	FAM190A,TMSL3
Variation_0048	RP11-26E14	chr4	104716535	104855657	CopyNumber	chr4	104716535	104855657	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0049	RP11-18D18	chr4	112622694	112639941	CopyNumber	chr4	112614884	112639941	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0050	RP11-728C8	chr4	125198313	125369670	CopyNumber	chr4	124568831	125736952	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	LOC285419
Variation_0051	RP11-119B13	chr4	154907192	155056506	CopyNumber	chr4	154907192	155056506	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	RNF175,KIAA0922,TLR2
Variation_0052	RP11-81P7	chr4	161330287	161501950	CopyNumber	chr4	161330287	161501950	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0053	AC096717	chr4	163092222	163201248	CopyNumber	chr4	163092222	163265570	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	FSTL5
Variation_0054	RP11-90E13	chr4	171498341	171662685	CopyNumber	chr4	171498341	171662685	Iafrate et al. (2004)	15286789	BAC Array CGH	4		4		39 control samples	
Variation_0057	RP5-963K6	chr4	191076742	191157722	CopyNumber	chr4	188353092	191306043	Iafrate et al. (2004)	15286789	BAC Array CGH	1	3	4		39 control samples	
Variation_0061	RP11-88L18	chr5	17465420	17636603	CopyNumber	chr5	17378802	17972161	Iafrate et al. (2004)	15286789	BAC Array CGH	3	2	5		39 control samples	
Variation_0062	RP11-67N10	chr5	35821275	35991840	CopyNumber	chr5	35821275	35991840	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	IL7R,UGT3A1,CAPSL,SPEF2
Variation_0063	RP11-19F12	chr5	41237161	41386317	CopyNumber	chr5	41237161	41386317	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	C6,PLCXD3
Variation_0064	RP11-551B22	chr5	69763872	69816329	CopyNumber	chr5	68604421	70831640	Iafrate et al. (2004)	15286789	BAC Array CGH	2	3	5		39 control samples	GTF2H2B,SMA5
Variation_0065	RP11-90A9	chr5	79882591	80063088	CopyNumber	chr5	79882591	80063088	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	DHFR,MTRNR2L2,MSH3,ANKRD34B
Variation_0066	RP11-258M21	chr5	85443998	85587282	CopyNumber	chr5	85443998	85587282	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0067	RP11-42M12	chr5	127176868	127327843	CopyNumber	chr5	127176868	127327843	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0068	RP11-55M16	chr5	141030990	141196500	CopyNumber	chr5	141030990	141196500	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	ARAP3
Variation_0070	RP3-416J7	chr6	89702	213735	CopyNumber	chr6	5001	720274	Iafrate et al. (2004)	15286789	BAC Array CGH	3	 	3		39 control samples	
Variation_0071	AL035696	chr6	89702	213735	CopyNumber	chr6	5001	720274	Iafrate et al. (2004)	15286789	BAC Array CGH	 	1	1		39 control samples	
Variation_0072	RP3-380B8	chr6	5800622	5987503	CopyNumber	chr6	5800622	5987503	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	NRN1
Variation_0076	RP11-79J17	chr6	32958730	33107258	CopyNumber	chr6	32958730	33107258	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	BRD2,HLA-DMA,HLA-DOA,HLA-DMB
Variation_0077	RP3-460D19	chr6	38399808	38498657	CopyNumber	chr6	38399808	38498657	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	BTBD9
Variation_0078	RP3-447E21	chr6	46034622	46158141	CopyNumber	chr6	46034622	46158141	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	CLIC5
Variation_0080	RP1-271N20	chr6	62236549	62301785	CopyNumber	chr6	62021131	62530088	Iafrate et al. (2004)	15286789	BAC Array CGH	3	 	3		39 control samples	
Variation_0081	AL133459	chr6	62539436	62639101	CopyNumber	chr6	62539436	62639101	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	KHDRBS2
Variation_0082	RP3-442I1	chr6	65020339	65158547	CopyNumber	chr6	65020339	65158547	Iafrate et al. (2004)	15286789	BAC Array CGH		4	4		39 control samples	EYS
Variation_0083	RP5-819L10	chr6	66171873	66191469	CopyNumber	chr6	66171873	66289413	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	EYS
Variation_0086	RP1-104A17	chr6	71600100	71684399	CopyNumber	chr6	71600100	71684399	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	SMAP1,B3GAT2
Variation_0087	RP11-374I18	chr6	73586974	73744757	CopyNumber	chr6	73586974	73744757	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	MIR4282,KCNQ5
Variation_0089	RP1-70A9	chr6	109965514	110100592	CopyNumber	chr6	109965514	110100592	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	AKD1
Variation_0090	RP3-329N18	chr6	124250521	124335284	CopyNumber	chr6	124250521	124335284	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	NKAIN2
Variation_0091	RP3-480J14	chr6	128252093	128357560	CopyNumber	chr6	128252093	128389518	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	THEMIS,PTPRK
Variation_0092	RP1-69B13	chr6	146665208	146865524	CopyNumber	chr6	146665208	146865524	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	GRM1
Variation_0093	AC091729	chr7	886022	990306	CopyNumber	chr7	865734	1463188	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	GPER,ZFAND2A,C7orf50
Variation_0094	RP11-51L23	chr7	18504007	18679696	CopyNumber	chr7	18504007	18679696	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	HDAC9
Variation_0096	IIID10	chr7	18028924	18228924	CopyNumber	chr7	18028924	18228924	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0097	IIID11	chr7	18851455	18884617	CopyNumber	chr7	18851455	18950738	Iafrate et al. (2004)	15286789	BAC Array CGH	1	 	1		39 control samples	
Variation_0099	IIIE1	chr7	18880488	18915839	CopyNumber	chr7	18851455	18950738	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0100	cosIIIA9	chr7	18912405	18950738	CopyNumber	chr7	18851455	18950738	Iafrate et al. (2004)	15286789	BAC Array CGH	1	 	1		39 control samples	TWIST1
Variation_0101	IID9	chr7	18952026	18983359	CopyNumber	chr7	18951972	18983359	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	FERD3L
Variation_0102	IIIB3	chr7	18885320	18921592	CopyNumber	chr7	18851455	18950738	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0103	IH3	chr7	19000431	19035204	CopyNumber	chr7	19000431	19035204	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	
Variation_0104	RP11-45N18	chr7	61822025	61983953	CopyNumber	chr7	60893982	62745400	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	
Variation_0105	RP11-90N9	chr7	82865105	83012223	CopyNumber	chr7	82865105	83104763	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	SEMA3E
Variation_0106	RP11-91M13	chr7	86300489	86447373	CopyNumber	chr7	86300489	86447373	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	DMTF1,KIAA1324L
Variation_0107	RP11-80P24	chr7	101197439	101375340	CopyNumber	chr7	101197439	101375340	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	CUX1
Variation_0108	RP11-89O20	chr7	112104625	112243261	CopyNumber	chr7	111166970	112362579	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	C7orf60
Variation_0110	AC004853	chr7	143052813	143182167	CopyNumber	chr7	142664612	143806286	Iafrate et al. (2004)	15286789	BAC Array CGH		4	4		39 control samples	OR6B1,OR2F1,OR2F2
Variation_0111	RP11-80J22	chr7	154063096	154225470	CopyNumber	chr7	154063096	154225470	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	PAXIP1,DPP6,LOC100132707
Variation_0116	RP11-90I3	chr8	16716673	16894504	CopyNumber	chr8	16231527	17010633	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0119	RP11-15K1	chr8	80250946	80410022	CopyNumber	chr8	80250946	80410022	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0121	RP11-96G1	chr8	86898422	86955420	CopyNumber	chr8	86450360	87124169	Iafrate et al. (2004)	15286789	BAC Array CGH	3	6	9		39 control samples	
Variation_0123	RP11-184M21	chr8	134076082	134219260	CopyNumber	chr8	134076082	134219260	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	TG,SLA
Variation_0124	RP11-21H16	chr8	135975722	136154996	CopyNumber	chr8	135975722	136154996	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	
Variation_0125	RP1-43N6	chr9	216470	304484	CopyNumber	chr9	21994	862798	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	DOCK8
Variation_0126	RP11-130C19	chr9	615148	812246	CopyNumber	chr9	21994	862798	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	KANK1
Variation_0127	RP11-490C5	chr9	15220016	15401786	CopyNumber	chr9	15220016	15401786	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	TTC39B
Variation_0128	RP11-340N12	chr9	17136369	17298494	CopyNumber	chr9	16115443	20680244	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	CNTLN
Variation_0129	RP11-65B23	chr9	87484295	87654528	CopyNumber	chr9	87248281	87654534	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	CTSL1,CTSL3,DAPK1
Variation_0130	RP11-363G1	chr4	28886020	29050274	CopyNumber	chr4	28886020	29050274	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0131	RP11-9H12	chr9	112905346	113012508	CopyNumber	chr9	112320009	113082505	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	NCRNA00256B,NCRNA00256A,FKBP15,SLC31A2
Variation_0132	RP11-153P4	chr9	133571299	133750426	CopyNumber	chr9	133571299	133809827	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	SARDH,VAV2
Variation_0133	AL592301	chr9	136526666	136715127	CopyNumber	chr9	136526666	137617588	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	DNLZ,GPSM1,SDCCAG3,SNAPC4,SEC16A,C9orf163,CARD9,NOTCH1,INPP5E,PMPCA
Variation_0134	RP1-112N13	chr9	138233464	138321552	CopyNumber	chr9	138161400	138429268	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	TUBBP5,CACNA1B
Variation_0136	AL390716	chr10	46487307	46562342	CopyNumber	chr10	45341719	48101925	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	PPYR1,LOC728643,LOC643650
Variation_0138	RP11-19C18	chr10	78621100	78713021	CopyNumber	chr10	78621100	78713021	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	KCNMA1
Variation_0143	RP11-79E12	chr11	10149870	10309555	CopyNumber	chr11	10149870	10309555	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	SBF2,ADM
Variation_0144	RP11-206L19	chr11	11681593	11828351	CopyNumber	chr11	11681593	11828351	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	USP47
Variation_0145	RP5-859D17	chr11	29370791	29480699	CopyNumber	chr11	29370791	29480699	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	
Variation_0147	RP11-79A4	chr11	48644550	48801143	CopyNumber	chr11	48260247	49141766	Iafrate et al. (2004)	15286789	BAC Array CGH	1	 	1		39 control samples	
Variation_0148	RP11-135H8	chr11	56357375	56507045	CopyNumber	chr11	56357375	56507045	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	
Variation_0149	AP001636	chr11	58456668	58618256	CopyNumber	chr11	58456668	58765249	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	GLYATL1,LOC283194
Variation_0150	RP11-49D19	chr11	62270860	62448065	CopyNumber	chr11	62270860	62448065	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	NXF1,ZBTB3,SNORD29,SNORD26,SNORD27,SLC3A2,SNORD25,POLR2G,TMEM179B,SNORD31,CHRM1,WDR74,TMEM223,SNORD22,TAF6L,SNORD28,STX5,SNHG1,SNORD30
Variation_0151	RP11-7H7	chr11	78034240	78206818	CopyNumber	chr11	78034083	78206818	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	ODZ4
Variation_0152	RP11-19P3	chr11	84347356	84517431	CopyNumber	chr11	84347356	84572681	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	DLG2
Variation_0154	RP11-16K5	chr11	95569602	95712636	CopyNumber	chr11	95569602	95712636	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	MAML2
Variation_0155	RP11-33F6	chr11	102438737	102497333	CopyNumber	chr11	102438737	102497333	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	DYNC2H1,DCUN1D5
Variation_0156	RP11-179B7	chr11	103803549	103965007	CopyNumber	chr11	103470000	104851268	Iafrate et al. (2004)	15286789	BAC Array CGH	1	 	1		39 control samples	
Variation_0158	AP003463	chr11	114312722	114403784	CopyNumber	chr11	114312722	114403784	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0159	RP11-356E17	chr11	115830842	116041424	CopyNumber	chr11	115830842	116041424	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0161	RP11-543P15	chr12	3099613	3265128	CopyNumber	chr12	3099613	3265128	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	TSPAN9
Variation_0162	RP11-80N2	chr12	20833482	21009087	CopyNumber	chr12	20833482	21296099	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	SLCO1B3
Variation_0163	RP11-12D15	chr12	22210387	22369559	CopyNumber	chr12	22032101	22628174	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	ST8SIA1
Variation_0164	RP11-183H16	chr12	54839345	55013827	CopyNumber	chr12	54839345	55013827	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	PAN2,SLC39A5,RNF41,OBFC2B,COQ10A,SMARCC2,MYL6,ANKRD52,CS,CNPY2
Variation_0165	RP11-900F13	chr12	87352898	87525143	CopyNumber	chr12	87352898	87525143	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	KITLG
Variation_0166	RP11-90D13	chr12	110966985	111143652	CopyNumber	chr12	110966985	111143652	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	NAA25,TRAFD1,C12orf51
Variation_0167	RP11-26D3	chr13	20266985	20427181	CopyNumber	chr13	20266985	20427181	Iafrate et al. (2004)	15286789	BAC Array CGH	2	 	2		39 control samples	XPO4
Variation_0168	RP11-90K7	chr13	48069307	48242971	CopyNumber	chr13	48069307	48370518	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	CYSLTR2
Variation_0169	RP11-100C24	chr13	56600597	56729949	CopyNumber	chr13	56523625	56824435	Iafrate et al. (2004)	15286789	BAC Array CGH	3	16	19		39 control samples	PRR20A,PRR20B,PRR20E,PRR20D,PRR20C
Variation_0170	RP11-37I8	chr13	64052968	64056453	CopyNumber	chr13	64052968	64056453	Iafrate et al. (2004)	15286789	BAC Array CGH	 	1	1		39 control samples	
Variation_0171	RP11-80N10	chr13	80203304	80367022	CopyNumber	chr13	80203304	80367022	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0172	RP11-89A14	chr13	82411999	82576851	CopyNumber	chr13	82411999	82576851	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	
Variation_0174	RP11-71E6	chr14	20923484	20941004	CopyNumber	chr14	20923484	20941004	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	SNORD9,CHD8,SNORD8
Variation_0175	RP11-125A5	chr14	28581578	28768137	CopyNumber	chr14	28581578	28768137	Iafrate et al. (2004)	15286789	BAC Array CGH	6	2	8		39 control samples	
Variation_0176	RP11-26M6	chr14	34404823	34591592	CopyNumber	chr14	34399507	34591592	Iafrate et al. (2004)	15286789	BAC Array CGH	 	1	1		39 control samples	C14orf19,FAM177A1,BAZ1A,SRP54
Variation_0178	RP11-114N19	chr14	80497720	80650761	CopyNumber	chr14	80497720	80650761	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	TSHR
Variation_0180	RP11-365N19	chr14	102319877	102479478	CopyNumber	chr14	102319877	102479478	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	AMN,CDC42BPB,TRAF3
Variation_0182	CTC-200D12	chr14	105867236	106175506	CopyNumber	chr14	105123078	106358708	Iafrate et al. (2004)	15286789	BAC Array CGH	 	9	9		39 control samples	NCRNA00221
Variation_0183	RP11-339C21	chr15	23337055	23504668	CopyNumber	chr15	22967152	23504668	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	ATP10A
Variation_0185	RP11-420B6	chr15	30654127	30830821	CopyNumber	chr15	29518297	32778261	Iafrate et al. (2004)	15286789	BAC Array CGH	1		1		39 control samples	ARHGAP11A,SCG5,GREM1
Variation_0186	AC011938	chr15	31529648	31681236	CopyNumber	chr15	29518297	32778261	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	RYR3
Variation_0187	RP11-194H7	chr15	32397743	32458774	CopyNumber	chr15	29518297	32778261	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	NOP10,GOLGA8A,C15orf55,SLC12A6,LPCAT4
Variation_0188	RP11-416K5	chr15	48172576	48330980	CopyNumber	chr15	48172576	48330980	Iafrate et al. (2004)	15286789	BAC Array CGH	2		2		39 control samples	HDC,ATP8B4,SLC27A2
Variation_0189	RP11-500O23	chr15	70606840	70796533	CopyNumber	chr15	70456429	70907613	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	BBS4,ARIH1,HIGD2B,GOLGA6B,MIR630
Variation_0190	RP11-91O13	chr15	80913914	81082896	CopyNumber	chr15	80451465	81356434	Iafrate et al. (2004)	15286789	BAC Array CGH		1	1		39 control samples	LOC727849,RPS17,LOC440297,LOC80154,CPEB1
Variation_0192	RP11-120N1	chr15	95833747	95937053	CopyNumber	chr15	95508704	95943653	Iafrate et al. (2004)	15286789	BAC Array CGH		2	2		39 control samples	
Variation_0193	RP1-124O5	chr15	100014978	100170013	CopyNumber	chr15	99297498	100248597	Iafrate et al. (2004)	15286789	BAC Array CGH	1	5	6		39 control samples	OR4F6,TARSL2
Variation_0195	RP11-499D5	chr16	32561947	32773200	CopyNumber	chr16	31658070	35026333	Iafrate et al. (2004)	15286789	BAC Array CGH	1	1	2		39 control samples	TP53TG3B,TP53TG3
